YearMonth,AREA NAME,Count,LAT,LON
2022-05,Hollenbeck,759,34.053606982872196,-118.20366666666666
2022-05,Hollywood,1037,34.09923616200579,-118.3295343297975
2022-05,Mission,842,34.25406769596199,-118.45051733966747
2022-05,N Hollywood,1021,34.17310626836435,-118.38626013712047
2022-05,Newton,1025,34.00926,-118.26120975609757
2022-05,Northeast,905,34.106695359116024,-118.24613679558011
2022-05,Olympic,1000,34.060230000000004,-118.3005472
2022-05,Pacific,1143,33.98438258967629,-118.42559011373577
2022-05,Rampart,998,34.06380320641283,-118.27409018036072
2022-05,Southeast,1063,33.93732041392286,-118.26645832549389
2022-05,Southwest,1132,34.02050097173145,-118.31697694346289
2022-05,Topanga,898,34.192080734966595,-118.60021469933184
2022-05,Van Nuys,827,34.1805338573156,-118.44710906892382
2022-05,West LA,934,34.05243286937902,-118.43957312633833
2022-05,West Valley,847,34.18711782762692,-118.52072219598583
2022-05,Wilshire,931,34.06123501611171,-118.34963813104189
2022-06,77th Street,1311,33.978430816170864,-118.29638665141113
2022-06,Central,1471,34.04739252209381,-118.25026852481305
2022-06,Devonshire,845,34.24972295857988,-118.5417252071006
2022-06,Foothill,697,34.247643041606885,-118.38123457675752
2022-06,Harbor,751,33.76854074567244,-118.28555059920106
2022-06,Hollenbeck,733,34.054440654843106,-118.20358035470669
2022-06,Hollywood,1184,34.09958927364865,-118.33020633445945
2022-06,Mission,774,34.256001421188635,-118.45024134366925
2022-06,N Hollywood,969,34.17299628482972,-118.38486842105263
2022-06,Newton,1073,34.01112739981361,-118.26075806150978
2022-06,Northeast,851,34.10647003525264,-118.24664242068155
2022-06,Olympic,1039,34.06082319538017,-118.30000500481232
2022-06,Pacific,1019,33.984102845927374,-118.42434533856724
2022-06,Rampart,975,34.06244410256411,-118.27423979487179
2022-06,Southeast,1149,33.93738485639687,-118.26635404699738
2022-06,Southwest,1138,34.01997284710017,-118.3166904217926
2022-06,Topanga,829,34.192905186972254,-118.60118588661038
2022-06,Van Nuys,803,34.17977322540473,-118.44717272727273
2022-06,West LA,921,34.05125884907709,-118.44116536373507
2022-06,West Valley,859,34.1853848661234,-118.52134714784633
2022-06,Wilshire,877,34.06231870011403,-118.3517833523375
2022-07,77th Street,1286,33.97747418351477,-118.29710202177294
2022-07,Central,1564,34.047509910485935,-118.25083030690537
2022-07,Devonshire,767,34.24933129074315,-118.54025749674055
2022-07,Foothill,678,34.24871755162242,-118.37991843657818
2022-07,Harbor,824,33.77110983009709,-118.28507973300971
2022-07,Hollenbeck,757,34.05323500660502,-118.20401334214003
2022-07,Hollywood,1136,34.09928327464789,-118.33039797535211
2022-07,Mission,766,34.25317584856397,-118.45060208877285
2022-07,N Hollywood,933,34.172136334405145,-118.38427899249733
2022-07,Newton,1061,34.00965984919887,-118.2604395852969
2022-07,Northeast,895,34.1063705027933,-118.24310268156425
2022-07,Olympic,1000,34.0608845,-118.3004933
2022-07,Pacific,1099,33.98347761601456,-118.42199708826206
2022-07,Rampart,923,34.06353022751896,-118.27449815817985
2022-07,Southeast,1002,33.93887834331337,-118.26653522954092
2022-07,Southwest,1040,34.019796057692304,-118.31640625
2022-07,Topanga,802,34.19258154613467,-118.60101346633417
2022-07,Van Nuys,765,34.1788814379085,-118.44805450980392
2022-07,West LA,904,34.05162311946903,-118.44166969026548
2022-07,West Valley,841,34.18769013079667,-118.52087859690845
2022-07,Wilshire,958,34.06171743215031,-118.35249624217118
2022-08,77th Street,1223,33.97778152085037,-118.29732910874897
2022-08,Central,1706,34.04718417350528,-118.25105023446659
2022-08,Devonshire,815,34.24959423312884,-118.54176711656442
2022-08,Foothill,631,34.24870744849445,-118.38087511885897
2022-08,Harbor,816,33.77158259803922,-118.28447830882354
2022-08,Hollenbeck,772,34.053376036269434,-118.2039396373057
2022-08,Hollywood,1087,34.09904388224471,-118.33025455381784
2022-08,Mission,740,34.25353351351351,-118.45078783783784
2022-08,N Hollywood,971,34.17213388259526,-118.38459670442843
2022-08,Newton,1011,34.01050257171118,-118.26004362017804
2022-08,Northeast,884,34.1077734162896,-118.2426580316742
2022-08,Olympic,995,34.06048381909548,-118.30044793969849
2022-08,Pacific,1109,33.98444779080253,-118.4230541027953
2022-08,Rampart,917,34.063361941112326,-118.27426444929117
2022-08,Southeast,1026,33.939403703703704,-118.26693177387915
2022-08,Southwest,1128,34.020270035460996,-118.31492021276597
2022-08,Topanga,806,34.19283200992556,-118.60175459057072
2022-08,Van Nuys,869,34.178451323360186,-118.44689159953971
2022-08,West LA,847,34.05199539551357,-118.43766576151123
2022-08,West Valley,872,34.18961880733945,-118.52243084862386
2022-08,Wilshire,910,34.06129626373626,-118.35151516483518
2022-09,77th Street,1209,33.976777253928866,-118.29738519437552
2022-09,Central,1522,34.04747680683312,-118.25030367936925
2022-09,Devonshire,792,34.249794065656566,-118.5375231060606
2022-09,Foothill,631,34.24768431061806,-118.37491537242471
2022-09,Harbor,771,33.771793774319065,-118.28568287937742
2022-09,Hollenbeck,674,34.05217744807122,-118.20464910979229
2022-09,Hollywood,1044,34.09974885057471,-118.3293454980843
2022-09,Mission,716,34.25561466480447,-118.45103533519554
2022-09,N Hollywood,876,34.171586073059366,-118.38367054794521
2022-09,Newton,1077,34.00994048282266,-118.26031457753018
