GridLat,GridLon,Total_Crimes,LAT,LON
34.0,-118.35,25,34.004068000000004,-118.350368
34.0,-118.34,1,34.0047,-118.3413
34.0,-118.33,191,34.001110471204186,-118.3293434554974
34.0,-118.32,218,34.00072844036697,-118.32096697247707
34.0,-118.31,442,34.00004049773756,-118.30987262443439
34.0,-118.3,413,33.99978498789346,-118.29938692493947
34.0,-118.29,441,34.00009433106576,-118.28912653061225
34.0,-118.28,678,34.00006696165192,-118.28057168141592
34.0,-118.27,802,34.00009314214464,-118.27003279301746
34.0,-118.26,436,34.00068922018349,-118.25956467889908
34.0,-118.25,416,34.00000528846154,-118.25007139423077
34.0,-118.24,195,33.99943846153846,-118.24205897435897
34.01,-118.46,24,34.006025,-118.45800416666667
34.01,-118.45,70,34.00845,-118.44898285714285
34.01,-118.44,73,34.01048904109589,-118.43959452054793
34.01,-118.43,179,34.00909776536313,-118.42904134078212
34.01,-118.42,107,34.01077476635514,-118.42137850467289
34.01,-118.41,22,34.0149,-118.4139
34.01,-118.36,34,34.0124294117647,-118.35790882352941
34.01,-118.35,354,34.012327118644066,-118.34990734463277
34.01,-118.34,601,34.011653910149754,-118.3398628951747
34.01,-118.33,290,34.00875275862069,-118.32934793103449
34.01,-118.32,271,34.010326937269376,-118.3205815498155
34.01,-118.31,692,34.010764595375726,-118.31016242774567
34.01,-118.3,540,34.01025111111111,-118.29989907407408
34.01,-118.29,737,34.010018317503395,-118.29021004070556
34.01,-118.28,717,34.009247977684794,-118.28069902370991
34.01,-118.27,633,34.00977187993681,-118.26993680884675
34.01,-118.26,535,34.010211401869164,-118.2594568224299
34.01,-118.25,410,34.00911073170732,-118.25025341463414
34.01,-118.24,93,34.009192473118276,-118.24270322580647
34.01,-118.23,3,34.01463333333333,-118.2303
34.01,-118.21,12,34.01425,-118.20662499999999
34.01,-118.2,25,34.014384,-118.200684
34.01,-118.19,1,34.0138,-118.1922
34.02,-118.45,31,34.0244,-118.44613870967743
34.02,-118.44,134,34.02065447761194,-118.4395119402985
34.02,-118.43,140,34.020511428571425,-118.43012357142857
34.02,-118.42,267,34.01957940074906,-118.42011985018726
34.02,-118.41,376,34.021442287234045,-118.40972340425533
34.02,-118.4,186,34.022433870967745,-118.40191075268817
34.02,-118.38,18,34.020538888888886,-118.37821666666666
34.02,-118.37,281,34.022953380782916,-118.36983167259787
34.02,-118.36,179,34.02040446927374,-118.35838268156425
34.02,-118.35,1028,34.018353112840465,-118.3497024319066
34.02,-118.34,274,34.02013102189781,-118.33976094890511
34.02,-118.33,202,34.02007920792079,-118.33109603960395
34.02,-118.32,144,34.02090347222222,-118.31989305555557
34.02,-118.31,375,34.02024613333334,-118.30961733333334
34.02,-118.3,604,34.01960149006622,-118.29998410596028
34.02,-118.29,653,34.0208808575804,-118.28968514548238
34.02,-118.28,585,34.02011487179487,-118.28041042735042
34.02,-118.27,547,34.02054844606947,-118.27049597806216
34.02,-118.26,641,34.02038237129485,-118.25976193447738
34.02,-118.25,508,34.02040787401575,-118.2507094488189
34.02,-118.24,402,34.02151194029851,-118.24185298507463
34.02,-118.23,106,34.02081037735849,-118.2311396226415
34.02,-118.22,293,34.022148122866895,-118.21906587030718
34.02,-118.21,400,34.02090925,-118.2093185
34.02,-118.2,269,34.020317472118954,-118.2008033457249
34.02,-118.19,71,34.02161549295775,-118.19374225352112
34.03,-118.53,13,34.031992307692306,-118.5269
34.03,-118.52,53,34.02985094339623,-118.51798867924529
